,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
project0253.csv,41.0,6.5,29.0,2.0,27.0,4.0,96.0,3.0,82.5,17.0,5.0,0.0
project0254.csv,55.0,9.0,17.0,3.0,11.0,2.0,138.0,2.0,191.0,23.0,7.0,0.0
project0255.csv,58.0,7.0,32.0,2.0,28.0,4.0,136.5,2.5,106.5,37.5,4.5,0.0
project0256.csv,114.5,17.0,5.0,2.0,3.0,1.0,17.0,7.0,414.0,40.5,17.0,0.0
project0257.csv,39.0,3.0,14.0,1.0,12.0,1.0,19.0,1.0,42.0,23.0,3.0,0.0
project0258.csv,22.5,5.0,0.0,0.0,0.0,0.0,0.0,2.0,49.0,33.5,6.0,0.0
project0259.csv,22.5,4.0,8.0,1.0,6.0,1.0,16.0,1.0,58.0,39.0,9.0,0.5
project0260.csv,31.0,5.0,2.0,0.0,1.0,1.0,6.0,5.0,32.0,18.0,12.0,0.0
project0261.csv,65.5,6.0,15.0,1.5,12.5,2.0,63.5,0.0,52.0,58.5,4.0,0.0
project0262.csv,101.5,11.0,43.0,6.5,37.0,3.0,818.0,1.0,614.0,52.5,9.5,0.0
project0263.csv,52.0,7.0,11.5,3.0,7.0,1.0,61.0,1.5,165.5,28.0,10.5,0.0
project0264.csv,44.0,4.5,4.5,0.0,4.0,1.0,2.5,0.0,15.5,14.0,4.5,0.0
project0265.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
project0266.csv,62.0,3.0,3.0,0.0,2.0,1.0,14.0,0.0,42.0,37.0,11.0,1.0
project0267.csv,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,21.0,6.0,0.0
project0268.csv,9.0,2.0,4.0,1.0,2.0,1.0,15.0,0.0,43.0,55.0,4.0,0.0
project0269.csv,28.5,4.0,4.0,1.0,2.0,1.0,10.5,0.0,24.0,89.0,9.0,0.0
project0270.csv,9.0,2.0,5.5,1.0,3.0,1.0,18.0,1.0,29.0,40.5,13.5,0.5
project0271.csv,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,4.0,1.0
project0272.csv,98.5,10.0,2.0,0.0,1.0,1.0,3.5,8.0,20.5,15.5,3.0,0.0
project0273.csv,59.0,4.0,9.0,1.0,5.0,2.0,48.0,0.0,55.0,49.0,10.0,1.0
project0274.csv,196.0,17.0,42.0,2.0,40.0,7.0,415.0,7.0,315.0,104.0,8.0,0.0
project0275.csv,65.0,4.0,6.0,1.0,6.0,1.0,20.0,2.0,31.0,112.0,21.0,1.0
project0276.csv,12.5,2.5,13.5,1.0,10.5,2.0,90.5,0.0,66.5,14.5,3.0,0.0
project0277.csv,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,91.0,19.0,0.0
project0278.csv,27.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,15.0,2.0,0.0
project0279.csv,123.0,6.0,23.0,1.0,22.0,1.0,106.0,0.0,66.0,12.0,2.0,0.0
project0280.csv,43.0,6.0,14.0,1.0,10.0,2.0,74.0,2.0,59.0,66.0,5.0,0.0
project0281.csv,24.5,3.5,3.0,0.0,2.0,1.0,10.5,1.0,94.5,43.0,3.5,0.0
project0282.csv,30.0,2.0,1.5,0.0,0.5,0.5,2.0,2.0,44.0,179.0,21.5,2.0
project0283.csv,54.5,13.0,45.5,4.0,39.5,4.0,381.5,6.0,391.5,99.5,15.0,1.0
project0284.csv,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,18.0,1.0,0.0
project0285.csv,103.5,20.5,99.0,9.0,84.5,16.5,120.5,3.5,98.0,19.0,9.5,0.0
project0286.csv,36.5,4.0,12.5,1.0,10.0,2.0,17.0,0.0,23.0,26.0,10.0,1.0
project0287.csv,13.5,3.0,7.0,0.0,6.0,2.0,31.5,2.0,48.0,32.0,5.0,0.0
project0288.csv,227.0,6.0,0.0,0.0,0.0,0.0,0.0,12.0,402.0,222.0,17.0,2.0
project0289.csv,70.0,3.5,0.0,0.0,0.0,0.0,0.0,1.0,56.5,20.0,3.0,0.0
project0290.csv,2.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,12.0,139.0,59.0,2.0
project0291.csv,22.0,2.0,11.0,1.0,9.0,1.0,9.0,0.0,18.0,24.0,1.0,0.0
project0292.csv,76.0,13.0,74.0,5.0,66.0,3.0,328.0,0.0,380.0,12.0,4.0,0.0
project0293.csv,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,26.0,2.0,0.0
project0294.csv,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,71.0,113.0,9.0,2.0
project0295.csv,67.0,5.0,15.0,2.0,13.0,1.0,77.0,2.0,98.0,40.0,13.0,1.0
project0296.csv,30.5,2.5,4.0,0.0,4.0,1.0,7.0,1.0,25.5,32.5,8.0,0.0
project0297.csv,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,29.0,9.0,0.0
project0298.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.5,8.5,0.0
project0299.csv,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,9.0,0.0
project0300.csv,19.0,5.0,11.0,4.0,7.0,1.0,44.5,0.0,36.5,24.5,17.0,0.5
project0301.csv,27.5,2.0,3.5,0.0,3.0,1.0,5.5,4.0,27.5,47.5,6.5,0.5
project0302.csv,54.0,9.0,38.5,3.0,35.5,1.0,127.5,1.0,169.0,75.5,9.0,0.0
project0303.csv,46.0,8.0,14.5,2.0,11.0,3.0,83.0,1.0,149.5,157.5,29.5,1.0
project0304.csv,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0
project0305.csv,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,6.0,0.0
project0306.csv,22.5,2.0,4.5,0.0,4.0,1.0,3.0,0.0,45.5,59.0,8.5,0.0
project0307.csv,71.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5,5.0,0.0
project0308.csv,18.0,5.5,11.0,2.0,8.0,2.0,54.0,5.0,64.0,82.5,17.0,0.0
project0309.csv,21.0,4.0,4.0,0.0,3.0,1.0,7.5,0.0,42.0,7.0,5.0,0.0
project0310.csv,44.0,7.0,16.0,3.0,12.5,2.0,73.5,3.5,94.5,104.0,9.0,0.0
project0311.csv,81.0,3.0,2.0,0.0,2.0,1.0,2.0,1.0,311.5,28.5,4.0,0.0
project0312.csv,13.5,1.0,1.0,0.0,1.0,1.0,2.0,0.0,5.0,11.5,1.0,0.0
project0313.csv,5.5,1.0,0.5,0.0,0.0,0.0,0.0,1.0,49.5,23.0,2.0,0.0
project0314.csv,41.5,6.0,13.0,1.0,12.0,2.0,41.0,3.0,34.5,13.5,3.0,0.0
project0315.csv,6.5,1.0,2.0,0.5,2.0,1.0,2.0,5.0,56.0,60.0,18.5,1.0
project0316.csv,195.5,7.0,18.5,1.0,17.5,2.0,46.5,0.0,175.5,13.0,4.0,0.0
project0317.csv,59.5,9.0,47.5,2.0,45.0,7.0,217.0,2.5,150.0,24.0,5.0,0.0
project0318.csv,62.0,13.0,21.0,7.0,14.0,2.0,61.0,0.0,150.0,97.0,23.0,2.0
project0319.csv,21.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,54.0,24.0,7.0,1.0
project0320.csv,31.5,5.5,1.0,0.5,0.0,0.0,3.5,1.0,115.0,86.0,23.5,2.0
